IHDI Rank,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),IHDI Loss Percent,IHDI Rank Difference,Coefficient of Human Inequality,Inequality in Life Expectancy,Inequality-Adjusted Life Expectancy Index,Inequality in Education,Inequality-Adjusted Education Index,Inequality in Income,Inequality-Adjusted Income Index,Income Inequality (Quintile Ratio),Income Inequality (Palma Rati),Income Inequality (Gini Coefficient)
1,Norway,0.944,0.893,5.4,0,5.3,3.4,0.916,2.3,0.886,10.2,0.878,4.0,0.9,26.8
2,Australia,0.935,0.858,8.2,-2,7.9,4.2,0.920,1.9,0.914,17.7,0.752,5.8,1.3,34.0
3,Switzerland,0.930,0.861,7.4,0,7.3,3.9,0.931,5.7,0.816,12.3,0.839,5.2,1.2,32.4
4,Denmark,0.923,0.856,7.3,-1,7.1,4.0,0.889,3.0,0.897,14.4,0.787,4.0,0.9,26.9
5,Netherlands,0.922,0.861,6.6,3,6.5,3.9,0.911,4.1,0.858,11.6,0.817,4.5,1.0,28.9
6,Germany,0.916,0.853,6.9,0,6.7,3.7,0.902,2.4,0.871,14.1,0.790,4.7,1.1,30.6
6,Ireland,0.916,0.836,8.6,-3,8.5,3.7,0.902,5.4,0.858,16.3,0.756,5.3,1.2,32.1
8,United States,0.915,0.760,17.0,-20,15.7,6.2,0.853,5.3,0.842,35.6,0.610,9.8,2.0,41.1
9,Canada,0.913,0.832,8.8,-2,8.6,4.6,0.910,3.9,0.841,17.4,0.754,5.8,1.3,33.7
9,New Zealand,0.913,..,..,..,..,4.8,0.905,..,..,..,..,..,..,..
11,Singapore,0.912,..,..,..,..,2.8,0.942,..,..,..,..,..,..,..
12,"Hong Kong, China (SAR)",0.910,..,..,..,..,2.8,0.957,..,..,..,..,..,..,..
13,Liechtenstein,0.908,..,..,..,..,..,..,..,..,..,..,..,..,..
14,Sweden,0.907,0.846,6.7,3,6.5,3.1,0.927,3.5,0.813,13.1,0.804,3.7,0.9,26.1
14,United Kingdom,0.907,0.829,8.6,-2,8.4,4.5,0.892,2.8,0.860,17.8,0.742,7.6,1.7,38.0
16,Iceland,0.899,0.846,5.9,4,5.8,2.8,0.936,2.4,0.832,12.2,0.777,3.8,0.9,26.3
17,Korea (Republic of),0.898,0.751,16.4,-19,15.9,3.9,0.915,25.5,0.644,18.4,0.718,..,..,..
18,Israel,0.894,0.775,13.4,-9,12.9,3.8,0.923,9.9,0.776,25.0,0.649,10.3,2.2,42.8
19,Luxembourg,0.892,0.822,7.9,0,7.7,3.3,0.918,6.0,0.729,13.9,0.829,..,..,..
20,Japan,0.891,0.780,12.4,-5,12.2,3.2,0.945,19.8,0.649,13.5,0.773,5.4,1.2,32.1
21,Belgium,0.890,0.820,7.9,1,7.9,3.9,0.899,8.1,0.762,11.6,0.804,5.0,1.3,33.1
22,France,0.888,0.811,8.7,0,8.6,4.0,0.919,8.0,0.751,13.9,0.772,5.1,1.2,31.7
23,Austria,0.885,0.816,7.8,2,7.6,3.7,0.909,3.5,0.771,15.5,0.777,4.6,1.1,30.0
24,Finland,0.883,0.834,5.5,10,5.5,3.5,0.902,2.1,0.800,10.8,0.803,4.0,1.0,27.8
25,Slovenia,0.880,0.829,5.9,8,5.8,3.8,0.894,2.6,0.840,11.0,0.757,3.6,0.8,24.9
26,Spain,0.876,0.775,11.5,0,11.0,3.9,0.926,5.2,0.759,23.9,0.663,7.6,1.4,35.8
27,Italy,0.873,0.773,11.5,-1,11.3,3.4,0.938,10.6,0.700,19.8,0.702,6.9,1.4,35.5
28,Czech Republic,0.870,0.823,5.4,10,5.3,3.7,0.868,1.4,0.854,11.0,0.751,3.9,0.9,26.4
29,Greece,0.865,0.758,12.4,-5,12.1,4.0,0.899,11.6,0.735,20.6,0.660,6.4,1.4,34.7
30,Estonia,0.861,0.782,9.2,6,8.9,5.6,0.825,2.4,0.853,18.6,0.680,5.6,1.2,32.7
31,Brunei Darussalam,0.856,..,..,..,..,4.4,0.865,..,..,..,..,..,..,..
32,Cyprus,0.850,0.758,10.7,-2,10.6,3.7,0.892,13.1,0.673,15.0,0.727,..,..,..
32,Qatar,0.850,..,..,..,..,6.0,0.841,..,..,..,..,..,..,..
34,Andorra,0.845,..,..,..,..,..,..,..,..,..,..,..,..,..
35,Slovakia,0.844,0.791,6.2,9,6.2,5.6,0.818,1.5,0.813,11.3,0.744,4.1,0.9,26.6
36,Poland,0.843,0.760,9.8,2,9.6,5.7,0.833,5.6,0.778,17.5,0.678,5.2,1.3,32.8
37,Lithuania,0.839,0.754,10.1,-1,10.0,6.6,0.766,5.9,0.817,17.5,0.686,5.7,1.2,32.6
37,Malta,0.839,0.767,8.5,4,8.5,4.8,0.888,7.3,0.690,13.3,0.737,..,..,..
39,Saudi Arabia,0.837,..,..,..,..,8.7,0.762,..,..,..,..,..,..,..
40,Argentina,0.836,0.711,15.0,-8,14.5,9.3,0.786,8.1,0.759,26.3,0.601,10.6,2.3,43.6
41,United Arab Emirates,0.835,..,..,..,..,5.5,0.829,..,..,..,..,..,..,..
42,Chile,0.832,0.672,19.3,-13,18.2,5.9,0.893,12.6,0.655,36.0,0.519,12.6,3.3,50.8
43,Portugal,0.830,0.744,10.4,1,10.1,3.9,0.900,5.9,0.685,20.3,0.668,..,..,..
44,Hungary,0.828,0.769,7.2,10,7.1,5.4,0.803,3.2,0.789,12.6,0.717,4.5,1.0,28.9
45,Bahrain,0.824,..,..,..,..,6.3,0.816,..,..,..,..,..,..,..
46,Latvia,0.819,0.730,10.8,0,10.5,7.6,0.771,3.5,0.778,20.5,0.649,6.9,1.5,36.0
47,Croatia,0.818,0.743,9.1,3,8.9,5.2,0.836,4.3,0.745,17.2,0.659,5.3,1.4,33.6
48,Kuwait,0.816,..,..,..,..,7.2,0.776,..,..,..,..,..,..,..
49,Montenegro,0.802,0.728,9.2,1,9.2,7.6,0.799,7.4,0.735,12.6,0.658,4.7,1.1,30.6
50,Belarus,0.798,0.741,7.1,4,7.1,6.8,0.736,3.7,0.804,10.8,0.690,3.8,0.9,26.5
50,Russian Federation,0.798,0.714,10.5,1,10.3,9.8,0.695,2.3,0.788,18.7,0.664,7.3,1.8,39.7
52,Oman,0.793,..,..,..,..,7.0,0.813,..,..,..,..,..,..,..
52,Romania,0.793,0.711,10.3,2,10.2,8.8,0.768,4.7,0.719,17.1,0.651,4.1,0.9,27.3
52,Uruguay,0.793,0.678,14.5,-4,14.2,9.2,0.799,9.2,0.647,24.2,0.602,9.0,2.0,41.3
55,Bahamas,0.790,..,..,..,..,9.4,0.772,..,..,..,..,..,..,..
56,Kazakhstan,0.788,0.694,11.9,1,11.8,16.7,0.633,5.9,0.751,12.7,0.704,4.0,1.0,28.6
57,Barbados,0.785,..,..,..,..,8.1,0.786,5.5,0.734,..,..,..,..,..
58,Antigua and Barbuda,0.783,..,..,..,..,8.0,0.794,..,..,..,..,..,..,..
59,Bulgaria,0.782,0.699,10.5,3,10.4,7.9,0.768,5.5,0.710,17.8,0.627,6.4,1.4,34.3
60,Palau,0.780,..,..,..,..,..,..,12.0,0.696,23.0,0.570,..,..,..
60,Panama,0.780,0.604,22.5,-20,21.7,12.1,0.779,16.6,0.567,36.5,0.499,17.6,3.6,51.9
62,Malaysia,0.779,..,..,..,..,4.9,0.800,..,..,..,..,11.3,2.6,46.2
63,Mauritius,0.777,0.666,14.2,-2,14.1,9.2,0.760,13.2,0.623,19.8,0.625,5.9,1.5,35.9
64,Seychelles,0.772,..,..,..,..,7.9,0.752,..,..,..,..,18.8,6.4,65.8
64,Trinidad and Tobago,0.772,0.654,15.2,-3,15.0,16.4,0.648,6.6,0.659,21.9,0.656,..,..,..
66,Serbia,0.771,0.693,10.1,5,10.1,8.5,0.773,8.1,0.688,13.5,0.627,4.6,1.1,29.7
67,Cuba,0.769,..,..,..,..,5.1,0.867,11.3,0.681,..,..,..,..,..
67,Lebanon,0.769,0.609,20.8,-15,20.2,6.7,0.852,24.1,0.491,30.0,0.540,..,..,..
69,Costa Rica,0.766,0.613,19.9,-11,19.1,7.3,0.847,15.5,0.561,34.3,0.486,12.8,2.9,48.6
69,Iran (Islamic Republic of),0.766,0.509,33.6,-41,32.1,12.5,0.746,37.3,0.433,46.6,0.407,7.0,1.7,38.3
71,Venezuela (Bolivarian Republic of),0.762,0.612,19.7,-11,19.4,12.2,0.732,17.6,0.570,28.4,0.550,11.7,2.4,44.8
72,Turkey,0.761,0.641,15.8,0,15.7,11.0,0.757,14.2,0.563,21.8,0.618,8.0,1.9,40.0
73,Sri Lanka,0.757,0.669,11.6,7,11.6,8.3,0.774,12.8,0.646,13.7,0.597,5.8,1.6,36.4
74,Mexico,0.756,0.587,22.4,-12,21.8,10.9,0.778,19.7,0.518,34.6,0.501,11.1,2.8,48.1
75,Brazil,0.755,0.557,26.3,-20,25.6,14.5,0.717,23.6,0.518,38.7,0.465,16.9,3.8,52.7
76,Georgia,0.754,0.652,13.6,5,13.2,12.9,0.736,3.3,0.761,23.4,0.494,8.9,2.0,41.4
77,Saint Kitts and Nevis,0.752,..,..,..,..,..,..,..,..,..,..,..,..,..
78,Azerbaijan,0.751,0.652,13.2,7,12.9,21.7,0.612,8.3,0.645,8.9,0.702,5.1,1.3,33.0
79,Grenada,0.750,..,..,..,..,8.4,0.753,..,..,..,..,..,..,..
80,Jordan,0.748,0.625,16.5,2,16.4,11.9,0.732,16.9,0.586,20.5,0.568,5.1,1.4,33.7
81,The former Yugoslav Republic of Macedonia,0.747,0.622,16.7,2,16.1,7.6,0.788,10.6,0.608,30.1,0.504,9.3,2.3,44.2
81,Ukraine,0.747,0.689,7.8,16,7.7,10.4,0.703,3.6,0.770,9.2,0.604,3.4,0.9,24.8
83,Algeria,0.736,..,..,..,..,16.7,0.702,..,..,..,..,..,..,..
84,Peru,0.734,0.563,23.4,-10,23.0,13.9,0.723,23.3,0.509,31.9,0.484,11.9,2.5,45.3
85,Albania,0.733,0.634,13.5,8,13.4,9.9,0.801,11.9,0.561,18.3,0.567,4.3,1.0,29.0
85,Armenia,0.733,0.658,10.2,14,10.1,12.7,0.735,3.7,0.679,13.9,0.572,4.5,1.1,30.3
85,Bosnia and Herzegovina,0.733,0.635,13.3,9,13.1,6.7,0.811,12.5,0.573,20.2,0.551,5.4,1.3,33.0
88,Ecuador,0.732,0.570,22.1,-4,21.8,13.4,0.745,21.1,0.510,30.9,0.487,12.0,2.7,46.6
89,Saint Lucia,0.729,0.613,15.9,5,15.5,9.9,0.764,9.2,0.600,27.4,0.502,..,..,..
90,China,0.727,..,..,..,..,9.8,0.774,..,..,29.5,0.514,10.1,2.1,37.0
90,Fiji,0.727,0.616,15.3,8,15.1,12.3,0.675,10.5,0.686,22.6,0.505,8.0,2.2,42.8
90,Mongolia,0.727,0.633,12.9,12,12.8,16.6,0.634,9.4,0.647,12.3,0.619,6.2,1.6,36.5
93,Thailand,0.726,0.576,20.6,1,19.9,9.8,0.755,16.1,0.519,34.0,0.488,6.9,1.8,39.4
94,Dominica,0.724,..,..,..,..,..,..,..,..,..,..,..,..,..
94,Libya,0.724,..,..,..,..,10.1,0.714,..,..,..,..,..,..,..
96,Tunisia,0.721,0.562,22.0,-2,21.4,10.6,0.753,34.6,0.415,18.9,0.569,6.4,1.5,35.8
97,Colombia,0.720,0.542,24.7,-10,24.1,13.5,0.718,21.3,0.489,37.4,0.453,17.5,4.0,53.5
97,Saint Vincent and the Grenadines,0.720,..,..,..,..,13.0,0.708,..,..,..,..,..,..,..
99,Jamaica,0.719,0.593,17.5,7,16.9,15.0,0.729,5.6,0.628,30.1,0.454,9.6,2.5,45.5
100,Tonga,0.717,..,..,..,..,13.7,0.701,..,..,..,..,..,..,..
101,Belize,0.715,0.553,22.6,-3,21.7,11.4,0.682,15.9,0.611,37.9,0.406,..,..,..
101,Dominican Republic,0.715,0.546,23.6,-6,23.4,16.9,0.684,22.9,0.474,30.3,0.503,10.3,2.5,45.7
103,Suriname,0.714,0.543,24.0,-5,23.3,13.6,0.680,19.0,0.492,37.3,0.478,..,..,..
104,Maldives,0.706,0.531,24.9,-6,23.8,8.1,0.803,40.0,0.333,23.2,0.559,6.8,1.6,37.4
105,Samoa,0.702,..,..,..,..,13.3,0.713,..,..,..,..,..,..,..
106,Botswana,0.698,0.431,38.2,-23,36.5,21.9,0.535,32.1,0.437,55.5,0.344,22.9,5.8,60.5
107,Moldova (Republic of),0.693,0.618,10.8,20,10.8,11.0,0.707,7.3,0.651,14.0,0.514,4.6,1.1,30.6
108,Egypt,0.690,0.524,24.0,-5,22.8,13.4,0.681,40.9,0.351,14.2,0.604,4.4,1.2,30.8
109,Turkmenistan,0.688,..,..,..,..,26.0,0.519,..,..,..,..,..,..,..
110,Gabon,0.684,0.519,24.0,-6,24.0,28.0,0.492,23.5,0.465,20.4,0.613,8.3,2.1,42.2
110,Indonesia,0.684,0.559,18.2,6,18.2,16.4,0.629,20.8,0.486,17.3,0.573,5.7,1.5,38.1
112,Paraguay,0.679,0.529,22.1,-1,21.8,19.2,0.657,16.2,0.492,30.1,0.458,13.0,2.9,48.0
113,"Palestine, State of",0.677,0.577,14.9,16,14.8,13.1,0.707,16.5,0.549,15.0,0.494,5.5,1.4,34.5
114,Uzbekistan,0.675,0.569,15.8,14,15.3,24.3,0.563,1.4,0.672,20.1,0.485,5.8,1.5,35.2
115,Philippines,0.668,0.547,18.1,7,17.8,15.2,0.629,11.6,0.539,26.8,0.483,8.4,2.2,43.0
116,El Salvador,0.666,0.488,26.7,-6,26.2,14.5,0.697,30.2,0.389,34.0,0.428,8.4,2.0,41.8
116,South Africa,0.666,0.428,35.7,-15,33.0,25.7,0.427,16.1,0.594,57.3,0.310,28.5,8.0,65.0
116,Viet Nam,0.666,0.549,17.5,9,17.4,12.1,0.755,18.0,0.474,22.0,0.463,6.1,1.5,35.6
119,Bolivia (Plurinational State of),0.662,0.472,28.7,-5,28.4,24.5,0.561,24.7,0.480,36.1,0.391,15.2,2.7,46.6
120,Kyrgyzstan,0.655,0.560,14.5,17,14.2,20.0,0.623,5.0,0.665,17.7,0.424,5.4,1.3,33.4
121,Iraq,0.654,0.512,21.8,2,21.5,17.6,0.626,30.6,0.342,16.1,0.626,4.4,1.1,29.5
122,Cabo Verde,0.646,0.519,19.7,5,19.4,12.0,0.722,18.2,0.433,28.0,0.447,8.7,2.3,43.8
123,Micronesia (Federated States of),0.640,..,..,..,..,19.8,0.606,..,..,..,..,40.2,7.0,61.1
124,Guyana,0.636,0.520,18.3,8,18.1,19.2,0.577,10.5,0.511,24.4,0.477,..,..,..
125,Nicaragua,0.631,0.480,24.0,1,23.6,13.2,0.733,29.5,0.366,28.3,0.411,11.0,2.5,45.7
126,Morocco,0.628,0.441,29.7,-2,28.5,16.8,0.692,45.8,0.253,23.0,0.492,7.3,2.0,40.9
126,Namibia,0.628,0.354,43.6,-25,39.3,21.7,0.539,27.8,0.377,68.3,0.217,19.6,5.8,61.3
128,Guatemala,0.627,0.443,29.4,1,28.9,17.4,0.658,36.2,0.308,33.1,0.429,14.8,3.6,52.4
129,Tajikistan,0.624,0.515,17.5,10,17.0,29.3,0.537,6.5,0.615,15.0,0.414,4.7,1.1,30.8
130,India,0.609,0.435,28.6,1,27.7,25.0,0.554,42.1,0.292,16.1,0.508,5.0,1.4,33.6
131,Honduras,0.606,0.412,32.1,-7,30.7,17.0,0.678,26.4,0.361,48.6,0.285,23.5,5.0,57.4
132,Bhutan,0.605,0.425,29.8,-2,28.9,22.2,0.593,44.8,0.249,19.6,0.519,6.8,1.8,38.7
133,Timor-Leste,0.595,0.412,30.7,-4,29.4,22.8,0.572,47.6,0.247,17.8,0.494,4.4,1.2,30.4
134,Syrian Arab Republic,0.594,0.468,21.2,8,20.8,12.6,0.667,31.5,0.376,18.3,0.408,5.7,1.5,35.8
134,Vanuatu,0.594,0.492,17.2,12,17.2,15.4,0.675,17.5,0.430,18.5,0.410,..,..,..
136,Congo,0.591,0.434,26.6,6,26.2,36.0,0.417,21.5,0.402,21.2,0.488,8.2,1.9,40.2
137,Kiribati,0.590,0.405,31.5,-2,30.1,20.6,0.562,21.4,0.474,48.4,0.249,..,..,..
138,Equatorial Guinea,0.587,..,..,..,..,44.4,0.322,..,..,..,..,..,..,..
139,Zambia,0.586,0.384,34.4,-6,33.9,37.2,0.387,21.7,0.466,42.6,0.314,17.4,4.8,57.5
140,Ghana,0.579,0.387,33.1,-3,33.1,30.8,0.441,36.7,0.350,31.7,0.377,9.3,2.2,42.8
141,Lao People's Democratic Republic,0.575,0.428,25.6,7,25.3,21.5,0.558,34.1,0.304,20.3,0.463,5.8,1.6,36.2
142,Bangladesh,0.570,0.403,29.4,1,29.0,20.1,0.634,38.6,0.274,28.3,0.375,4.7,1.3,32.1
143,Cambodia,0.555,0.418,24.7,7,24.6,25.3,0.557,28.3,0.321,20.3,0.407,4.6,1.3,31.8
143,Sao Tome and Principe,0.555,0.418,24.7,6,24.7,26.9,0.523,21.4,0.368,25.8,0.378,5.6,1.3,33.9
145,Kenya,0.548,0.377,31.3,-3,31.1,31.5,0.439,26.0,0.380,36.0,0.321,11.0,2.8,47.7
145,Nepal,0.548,0.401,26.8,3,25.9,21.1,0.602,41.4,0.266,15.1,0.403,5.0,1.3,32.8
147,Pakistan,0.538,0.377,29.9,0,28.6,29.9,0.498,44.4,0.208,11.6,0.519,4.1,1.1,29.6
148,Myanmar,0.536,..,..,..,..,27.1,0.515,19.4,0.303,..,..,..,..,..
149,Angola,0.532,0.335,37.0,-8,36.6,46.2,0.267,34.6,0.310,28.9,0.453,9.0,2.2,42.7
150,Swaziland,0.531,0.354,33.3,-2,33.1,35.0,0.290,26.8,0.404,37.6,0.379,14.0,3.5,51.5
151,Tanzania (United Republic of),0.521,0.379,27.3,4,27.2,30.4,0.482,28.5,0.304,22.7,0.372,6.2,1.7,37.8
152,Nigeria,0.514,0.320,37.8,-9,37.5,40.8,0.299,43.3,0.254,28.4,0.430,9.1,2.2,43.0
153,Cameroon,0.512,0.344,32.8,-1,32.4,39.4,0.331,34.8,0.318,23.1,0.387,7.5,1.9,40.7
154,Madagascar,0.510,0.372,27.0,4,26.8,24.8,0.522,35.0,0.318,20.4,0.311,7.4,1.9,40.6
155,Zimbabwe,0.509,0.371,27.0,4,26.7,26.8,0.422,17.4,0.449,35.8,0.270,..,..,..
156,Mauritania,0.506,0.337,33.4,1,32.9,36.6,0.420,40.8,0.214,21.2,0.425,7.8,1.9,40.5
156,Solomon Islands,0.506,0.385,23.8,11,23.8,22.3,0.573,22.8,0.328,26.3,0.304,..,..,..
158,Papua New Guinea,0.505,..,..,..,..,26.5,0.481,11.5,0.360,..,..,..,..,..
159,Comoros,0.503,0.268,46.7,-18,46.0,34.2,0.438,47.6,0.248,56.0,0.178,26.7,7.0,64.3
160,Yemen,0.498,0.329,34.0,0,33.0,30.3,0.469,48.1,0.177,20.6,0.427,5.6,1.5,35.9
161,Lesotho,0.497,0.320,35.6,-2,34.9,33.5,0.305,24.3,0.383,47.0,0.280,20.4,4.3,54.2
162,Togo,0.484,0.322,33.4,1,33.1,36.8,0.386,38.9,0.299,23.5,0.290,10.7,2.6,46.0
163,Haiti,0.483,0.296,38.8,-7,38.2,27.9,0.475,38.3,0.249,48.4,0.219,26.6,5.5,59.2
163,Rwanda,0.483,0.330,31.6,4,31.6,30.2,0.475,29.4,0.289,35.2,0.262,11.0,3.2,50.8
163,Uganda,0.483,0.337,30.2,6,30.2,33.8,0.392,29.4,0.319,27.3,0.305,8.8,2.4,44.6
166,Benin,0.480,0.300,37.4,-2,37.1,37.0,0.384,44.8,0.230,29.4,0.306,8.2,2.2,43.5
167,Sudan,0.479,..,..,..,..,32.8,0.450,42.7,0.171,..,..,6.2,1.4,35.3
168,Djibouti,0.470,0.308,34.6,1,33.7,32.5,0.436,47.0,0.162,21.7,0.413,7.7,1.9,40.0
169,South Sudan,0.467,..,..,..,..,40.8,0.325,39.6,0.235,..,..,..,..,..
170,Senegal,0.466,0.305,34.4,1,34.0,29.5,0.504,44.7,0.168,27.7,0.337,7.8,1.9,40.3
171,Afghanistan,0.465,0.319,31.4,5,30.0,34.3,0.408,44.8,0.202,10.8,0.396,4.0,1.0,27.8
172,C̫te d'Ivoire,0.462,0.287,38.0,-1,37.6,40.2,0.290,45.1,0.214,27.4,0.379,9.4,2.2,43.2
173,Malawi,0.445,0.299,32.9,2,32.6,40.0,0.395,30.2,0.308,27.7,0.220,9.7,2.6,46.2
174,Ethiopia,0.442,0.312,29.4,7,28.0,30.2,0.474,44.3,0.176,9.5,0.363,5.3,1.4,33.6
175,Gambia,0.441,..,..,..,..,34.8,0.403,..,..,26.9,0.299,11.0,2.8,47.3
176,Congo (Democratic Republic of the),0.433,0.276,36.2,0,35.3,49.9,0.298,27.7,0.341,28.2,0.208,9.3,2.4,44.4
177,Liberia,0.430,0.280,34.8,2,34.1,33.1,0.421,46.4,0.215,22.7,0.243,7.0,1.7,38.2
178,Guinea-Bissau,0.420,0.254,39.6,-5,39.4,45.3,0.296,40.3,0.206,32.5,0.267,5.9,1.5,35.5
179,Mali,0.419,0.270,35.7,1,34.5,45.6,0.318,41.6,0.176,16.1,0.350,5.2,1.3,33.0
180,Mozambique,0.416,0.273,34.3,3,34.1,40.2,0.323,33.8,0.242,28.4,0.262,9.8,2.5,45.7
181,Sierra Leone,0.413,0.241,41.7,-4,40.0,51.2,0.232,49.6,0.171,19.2,0.351,5.6,1.5,35.4
182,Guinea,0.411,0.261,36.5,0,35.2,40.3,0.356,48.3,0.167,17.1,0.300,5.5,1.3,33.7
183,Burkina Faso,0.402,0.261,35.0,2,34.6,41.1,0.351,38.6,0.161,24.2,0.317,7.0,1.9,39.8
184,Burundi,0.400,0.269,32.6,5,31.5,43.6,0.318,36.9,0.234,14.1,0.263,4.8,1.3,33.3
185,Chad,0.392,0.236,39.9,-1,39.6,46.1,0.262,41.9,0.157,30.7,0.318,10.0,2.2,43.3
186,Eritrea,0.391,..,..,..,..,24.7,0.506,..,..,..,..,..,..,..
187,Central African Republic,0.350,0.198,43.5,-1,43.1,45.7,0.256,34.5,0.224,49.2,0.135,18.0,4.5,56.3
188,Niger,0.348,0.246,29.2,3,28.4,37.9,0.396,35.0,0.129,12.3,0.292,4.5,1.2,31.2
,Arab States,0.686,0.512,25.4,,24.7,17.4,0.643,38.9,0.334,17.7,0.626,,,
,East Asia and the Pacific,0.710,0.572,19.4,,19.2,11.7,0.734,18.4,0.491,27.4,0.520,,,
,Europe and Central Asia,0.748,0.651,13.0,,12.9,14.3,0.690,7.9,0.655,16.6,0.611,,,
,Latin America and the Caribbean,0.748,0.570,23.7,,23.2,13.3,0.734,21.0,0.522,35.2,0.485,,,
,South Asia,0.607,0.433,28.7,,27.9,24.4,0.563,41.5,0.288,17.9,0.499,,,
,Sub-Saharan Africa,0.518,0.345,33.3,,33.1,36.6,0.375,35.3,0.285,27.5,0.385,,,
,World,0.711,0.548,22.8,,22.7,17.4,0.654,26.8,0.442,24.0,0.570,,,
